Institution ID,Honor ID,Notes
1018,3004,
1000,3006,
1004,3007,
1004,3008,
1002,3014,
1015,3015,
1016,3016,
1018,3019,
1002,3023,
1021,3025,
1000,3027,
1000,3028,
1002,3029,
1016,3030,
1016,3031,
1016,3032,
1016,3033,
1016,3034,
1016,3035,
1016,3036,
1016,3037,
1016,3038,
1016,3039,
1016,3040,
1016,3041,
1016,3042,
1002,3045,
1021,3046,
1001,3057,
1002,3057,
1000,3058,
1019,3064,
1016,3068,
1010,3070,
1021,3072,
1010,3074,
1023,3085,
1015,3086,
1021,3088,
1000,3094,
1015,3101,
1016,3104,
1016,3106,
1012,3107,
1000,3109,
1016,3110,
1023,3121,
1013,3122,
1021,3125,
1021,3139,
