Institution ID,Inscription ID,Role,Uncertain,Notes
1001,267,Sponsor,FALSE,
1002,267,Sponsor,FALSE,
1004,271,Sponsor,FALSE,
1001,274,Sponsor,FALSE,
1001,275,Sponsor,FALSE,
1002,275,Sponsor,FALSE,
1002,276,Sponsor,FALSE,
1002,280,Sponsor,FALSE,
1001,282,Sponsor,FALSE,
1002,282,Sponsor,FALSE,
1001,283,Sponsor,FALSE,
1002,285,Sponsor,FALSE,
1002,286,Sponsor,FALSE,
1002,288,Sponsor,FALSE,
1002,289,Sponsor,FALSE,
1002,292,Sponsor,FALSE,
1000,295,Sponsor,FALSE,
1001,295,Sponsor,FALSE,
1002,295,Sponsor,FALSE,
1002,298,Sponsor,FALSE,
1001,300,Sponsor,FALSE,
1002,300,Sponsor,FALSE,
1002,302,Sponsor,FALSE,
1001,305,Sponsor,FALSE,
1002,305,Sponsor,FALSE,
1002,308,Sponsor,FALSE,
1000,312,Sponsor,FALSE,
1000,323,Sponsor,FALSE,
1001,323,Sponsor,FALSE,
1002,323,Sponsor,FALSE,
1000,324,Sponsor,FALSE,
1001,324,Sponsor,FALSE,
1002,324,Sponsor,FALSE,
1015,324,Sponsor,FALSE,
1002,325,Sponsor,FALSE,
1002,326,Sponsor,FALSE,
1000,327,Sponsor,FALSE,
1002,327,Sponsor,FALSE,
1001,329,Sponsor,FALSE,
1002,330,Sponsor,FALSE,
1000,334,Sponsor,FALSE,
1001,334,Sponsor,FALSE,
1002,334,Sponsor,FALSE,
1000,335,Sponsor,FALSE,
1001,335,Sponsor,FALSE,
1002,335,Sponsor,FALSE,
1000,340,Sponsor,FALSE,
1001,340,Sponsor,FALSE,
1002,340,Sponsor,FALSE,
1000,345,Sponsor,FALSE,
1001,345,Sponsor,FALSE,
1002,345,Sponsor,FALSE,
1000,348,Sponsor,FALSE,
1001,348,Sponsor,FALSE,
1002,348,Sponsor,FALSE,
1000,349,Sponsor,FALSE,
1001,349,Sponsor,FALSE,
1002,349,Sponsor,FALSE,
1000,351,Sponsor,FALSE,
1001,351,Sponsor,FALSE,
1002,351,Sponsor,FALSE,
1000,352,Sponsor,FALSE,
1001,352,Sponsor,FALSE,
